rank,finalWorth,category,personName,age,country,gender,source,status
1272,2400,Gambling & Casinos,Paul Gauselmann & family,88,Germany,M,Gambling,D
1272,2400,Real Estate,Mitchell Goldhar,61,Canada,M,Real estate,D
1272,2400,Finance & Investments,Peter Hargreaves,76,United Kingdom,M,Financial services,D
1272,2400,Healthcare,Xuande Hua & family,79,China,M,Pharmaceuticals,D
1272,2400,Diversified,Kwek Leng Kee,68,Singapore,M,Diversified,U
1272,2400,Manufacturing,Catherine Lozick,77,United States,F,Valve manufacturing,U
1272,2400,Media & Entertainment,Kalanithi Maran,57,India,M,Media,E
1272,2400,Finance & Investments,Jed McCaleb,48,United States,M,Cryptocurrency,D
1272,2400,Manufacturing,Fatih Ozmen,65,United States,M,Aerospace,D
1272,2400,Food & Beverage,Pan Laican,,China,M,Soy sauce,D
1272,2400,Metals & Mining,Tor Peterson,58,Switzerland,M,Commodities,D
1272,2400,Finance & Investments,Daniel Pritzker,63,United States,M,"Hotels, investments",D
1272,2400,Real Estate,Jinxing Qi,61,China,M,Real estate,U
1272,2400,Manufacturing,Qiu Jianping & family,61,China,M,Hand tools,U
1272,2400,Diversified,Rajan Raheja & family,68,India,M,Diversified,E
1272,2400,Finance & Investments,Matthias Reinhart,63,Switzerland,M,Financial services,D
1272,2400,Technology,Arnout Schuijff,55,Netherlands,M,Payments software,D
1272,2400,Diversified,Hans Sy,67,Philippines,M,Diversified,D
1272,2400,Diversified,Herbert Sy,66,Philippines,M,Diversified,D
1272,2400,Diversified,Lucio Tan,88,Philippines,M,Diversified,U
1272,2400,Technology,Tsai Ming-kai,72,Taiwan,M,Semiconductors,D
1272,2400,Media & Entertainment,Ted Turner,84,United States,M,Cable television,U
1272,2400,Real Estate,David Walentas,84,United States,M,Real estate,U
1272,2400,Finance & Investments,Urs Wietlisbach,61,Switzerland,M,Private equity,D
1272,2400,Technology,Jerry Yang,54,United States,M,Yahoo,D
1272,2400,Manufacturing,Yang Jianliang & family,53,China,M,Machinery,D
1272,2400,Manufacturing,Yang Weidong & family,54,China,M,Chemicals,D
1272,2400,Real Estate,Mortimer Zuckerman,85,United States,M,"Real estate, media",D
1312,2300,Finance & Investments,John Armitage,63,United Kingdom,M,Hedge funds,D
1312,2300,Energy,Lee Bass,66,United States,M,"Oil, investments",U
1312,2300,Technology,John Bicket,43,United States,M,Sensor systems,U
1312,2300,Technology,Sanjit Biswas,41,United States,M,Sensor systems,U
1312,2300,Fashion & Retail,Timothy Boyle,73,United States,M,Columbia Sportswear,E
1312,2300,Technology,Morris Chang,91,Taiwan,M,Semiconductors,D
1312,2300,Real Estate,Chao Teng-hsiung,78,Taiwan,M,Real estate,D
1312,2300,Finance & Investments,Samuel Chen,73,,M,Investments,N
1312,2300,Manufacturing,Chu Lam Yiu,53,Hong Kong,F,Flavorings,E
1312,2300,Technology,K. Dinesh,68,India,M,Software services,D
1312,2300,Diversified,James Duff,62,United States,M,"Tires, diversified",U
1312,2300,Diversified,Thomas Duff,66,United States,M,"Tires, diversified",U
1312,2300,Technology,Daniel Ek,40,Sweden,M,Spotify,D
1312,2300,Fashion & Retail,John Fisher,61,United States,M,Gap,D
1312,2300,Fashion & Retail,Georg Haub,61,Germany,M,Retail,U
1312,2300,Construction & Engineering,Erman Ilicak,55,Turkey,M,Construction,E
1312,2300,Finance & Investments,Justin Ishbia,45,United States,M,Private equity,U
1312,2300,Technology,Long Jiang,49,China,M,Manufacturing,U
1312,2300,Finance & Investments,Bruce Karsh,67,United States,M,Private equity,U
1312,2300,Technology,Bom Kim,44,South Korea,M,Online retailing,D
1312,2300,Food & Beverage,Jianping Lai,,China,M,Soy sauce,D
1312,2300,Healthcare,Lam Kong,58,Hong Kong,M,Pharmaceuticals,D
1312,2300,Finance & Investments,Stephen Lansdown,70,Guernsey,M,Financial services,D
1312,2300,Fashion & Retail,Kevin David Lehmann,20,,M,Drugstores,D
1312,2300,Food & Beverage,Li Haiyan,,China,F,Restaurants,U
1312,2300,Finance & Investments,Hua Li,45,China,M,Financial services,U
1312,2300,Gambling & Casinos,Lim Kok Thay,71,Malaysia,M,Casinos,U
1312,2300,Food & Beverage,Kishore Mariwala,88,India,M,Consumer goods,D
1312,2300,Food & Beverage,Clayton Mathile,82,United States,M,Pet food,E
1312,2300,Fashion & Retail,Mi Enhua,65,China,M,Retail,D
1312,2300,Food & Beverage,Vadim Moshkovich,55,Russia,M,"Agriculture, land",U
1312,2300,Food & Beverage,David Murdock,99,United States,M,"Dole, real estate",E
1312,2300,Fashion & Retail,David Nahmad,75,United States,M,Art collection,U
1312,2300,Finance & Investments,Lirio Parisotto,69,Brazil,M,Investments,D
1312,2300,Food & Beverage,Augusto Perfetti,,Switzerland,M,Candy,Split Family Fortune
1312,2300,Food & Beverage,Giorgio Perfetti,,Switzerland,M,Candy,Split Family Fortune
1312,2300,Fashion & Retail,Alberto Prada,69,Italy,M,Luxury goods,U
1312,2300,Fashion & Retail,Marina Prada,77,Italy,F,Luxury goods,U
1312,2300,Diversified,Filiz Sahenk,56,Turkey,F,Diversified,U
1312,2300,Food & Beverage,Richard Sands,72,United States,M,Liquor,Split Family Fortune
1312,2300,Finance & Investments,Stephan Schmidheiny,75,Switzerland,M,Investments,E
1312,2300,Healthcare,Alberto Siccardi & family,78,Switzerland,M,Medical devices,D
1312,2300,Real Estate,Stefan Soloviev,47,United States,M,"Real estate, grains",N
1312,2300,Fashion & Retail,Tang Yiu,89,Hong Kong,M,Fashion retail,D
1312,2300,Technology,Tian Ming,69,China,M,Measuring instruments,U
1312,2300,Finance & Investments,T.Y. Tsai,70,Taiwan,M,Finance,D
1312,2300,Technology,Jayshree Ullal,62,United States,F,Computer networking,U
1312,2300,Finance & Investments,Georg von Opel,56,United Kingdom,M,"Real estate, investments",U
1312,2300,Real Estate,Lang Walker,77,Australia,M,Real estate,U
1312,2300,Manufacturing,Xicheng Wang & family,74,China,M,Tires,D
1312,2300,Real Estate,Wang Zhenhua,61,China,M,Real estate,D
1312,2300,Food & Beverage,Paul-Heinz Wesjohann & family,79,Germany,M,Chicken processing,D
1312,2300,Fashion & Retail,Xie Bingkun & family,56,China,M,Pearlescent pigments,U
1312,2300,Manufacturing,Xu Shugen,57,China,M,"Construction, mining machinery",U
1312,2300,Healthcare,Christoph Zeller,65,Liechtenstein,M,Dental materials,E
1312,2300,Manufacturing,Zhang Jingzhang & family,87,China,M,Precision machinery,U
1368,2200,Real Estate,George Argyros & family,86,United States,M,"Real estate, investments",D
1368,2200,Finance & Investments,Brian Armstrong,40,United States,M,Cryptocurrency,D
1368,2200,Energy,Albert Avdolyan,52,Russia,M,"Oil, mining",R
1368,2200,Diversified,Sezai Bacaksiz,73,Turkey,M,Diversified,U
1368,2200,Technology,Aneel Bhusri,57,United States,M,Business software,D
1368,2200,Fashion & Retail,Brett Blundy,63,Bahamas,M,"Retail, agribusiness",E
1368,2200,Finance & Investments,J. Hyatt Brown,85,United States,M,Insurance,D
1368,2200,Finance & Investments,Chen Jinxia,55,China,F,Investments,D
1368,2200,Healthcare,Chen Xueli,71,China,M,Pharmaceuticals,U
1368,2200,Finance & Investments,Dermot Desmond,72,Ireland,M,Finance,U
1368,2200,Healthcare,Dong Wei,52,China,M,Pharmaceuticals,D
1368,2200,Fashion & Retail,Tom Ford,61,United States,M,Fashion,N
1368,2200,Food & Beverage,Fu Guangming & family,69,China,M,Poultry,U
1368,2200,Finance & Investments,Noam Gottesman,61,United States,M,Hedge funds,D
1368,2200,Finance & Investments,Jeffrey Gundlach,64,United States,M,Investments,E
1368,2200,Healthcare,Hao Hong,67,China,M,Pharmaceuticals,D
1368,2200,Automotive,Shmuel Harlap,78,Israel,M,Automotive,U
1368,2200,Technology,Hans-Werner Hector,83,Germany,M,SAP,D
1368,2200,Healthcare,Lutz Mario Helmig & family,76,Germany,M,Hospitals,U
1368,2200,Real Estate,Chulong Huang,64,China,M,Real estate,D
1368,2200,Finance & Investments,Thomas James,80,United States,M,Finance,U
1368,2200,Fashion & Retail,James Jannard,73,United States,M,Sunglasses,D
1368,2200,Automotive,Willis Johnson,75,United States,M,Damaged cars,U
1368,2200,Fashion & Retail,Lai Shixian,48,China,M,Sports apparel,U
1368,2200,Finance & Investments,Chris Larsen,62,United States,M,Cryptocurrency,D
1368,2200,Fashion & Retail,Solomon Lew,78,Australia,M,Retail,D
1368,2200,Diversified,Liang Xinjun,54,Singapore,M,Conglomerate,E
1368,2200,Diversified,Harald Link,68,Thailand,M,Diversified,U
1368,2200,Technology,Max Lytvyn,43,United States,M,Software,D
1368,2200,Energy,Igor Makarov,60,United States,M,Investments,U
1368,2200,Finance & Investments,Howard Marks,76,United States,M,Private equity,E
1368,2200,Finance & Investments,Charles Munger,99,United States,M,Berkshire Hathaway,D
1368,2200,Real Estate,Adam Neumann,44,United States,M,WeWork,U
1368,2200,Diversified,Thi Phuong Thao Nguyen,52,Vietnam,F,Airlines,D
1368,2200,Food & Beverage,Ni Yongpei & family,71,China,M,Beverages,D
1368,2200,Manufacturing,Heloise Pratt,60,Australia,F,"Manufacturing, investment",D
1368,2200,Technology,Qi Xiangdong,52,China,M,Software,U
1368,2200,Technology,Phillip T. (Terry) Ragon,73,United States,M,Health IT,U
1368,2200,Healthcare,Prathap Reddy,91,India,M,Healthcare,D
1368,2200,Sports,Jerry Reinsdorf,87,United States,M,Sports teams,U
1368,2200,Technology,Chad Richison,52,United States,M,Payroll processing,D
1368,2200,Fashion & Retail,"Karl Scheufele, III. & family",84,Switzerland,M,Jewelry,U
1368,2200,Healthcare,Alice Schwartz,96,United States,F,Biotech,U
1368,2200,Technology,Alex Shevchenko,43,Canada,M,Software,D
1368,2200,Technology,Kavitark Ram Shriram,66,United States,M,"Venture capital, Google",D
1368,2200,Real Estate,Jeffrey Soffer,55,United States,M,Real estate,N
1368,2200,Technology,William Stone,67,United States,M,Software,D
1368,2200,Finance & Investments,Henry Swieca,65,United States,M,Hedge funds,U
1368,2200,Diversified,Harley Sy,63,Philippines,M,Diversified,D
1368,2200,Diversified,Teresita Sy-Coson,72,Philippines,F,Diversified,D
1368,2200,Real Estate,Katsumi Tada,77,Japan,M,Real estate,D
1368,2200,Manufacturing,Tang Jinkui & family,67,China,M,"Textiles, petrochemicals",D
1368,2200,Technology,Tang Xiao'ou,55,China,M,Software,D
1368,2200,Fashion & Retail,Lottie Tham & family,73,Sweden,F,H&M,D
1368,2200,Healthcare,Shamsheer Vayalil,46,United Arab Emirates,M,Healthcare,R
1368,2200,Technology,Radha Vembu,50,India,F,Business software,U
1368,2200,Fashion & Retail,Wang Wenmo,66,China,M,Sports apparel,U
1368,2200,Service,Wang Zhenghua,78,China,M,Budget airline,U
1368,2200,Food & Beverage,David Wertheim,65,Israel,M,Coca-Cola Israel,D
1368,2200,Energy,Kai Wu,55,China,M,Batteries,D
1368,2200,Food & Beverage,Xu Yingzhuo,55,China,M,Agribusiness,D
1368,2200,Manufacturing,Yeung Kin-man,59,Hong Kong,M,Electronics,D
1368,2200,Logistics,Huijiao Yu,57,China,M,Package delivery,D
1368,2200,Finance & Investments,Oren Zeev,58,United States,M,Investments,D
1368,2200,Manufacturing,Clayton Zekelman,54,Canada,M,Steel,U
1368,2200,Energy,Zhao Fenggang,57,China,M,Batteries,D
1434,2100,Metals & Mining,Alex Beard,55,United Kingdom,M,"Mining, commodities",D
1434,2100,Food & Beverage,Travis Boersma,52,United States,M,Coffee,D
1434,2100,Construction & Engineering,Martin Bouygues,,France,M,"Construction, media",Split Family Fortune
1434,2100,Construction & Engineering,Olivier Bouygues,72,,M,"Construction, media",Split Family Fortune
1434,2100,Gambling & Casinos,William Boyd & family,91,United States,M,"Casinos, banking",D
1434,2100,Food & Beverage,Anand Burman,70,India,M,Consumer goods,D
1434,2100,Manufacturing,Cao Ji,71,China,M,Manufacturing,D
1434,2100,Technology,Bruce Cheng,86,Taiwan,M,Electronics,E
1434,2100,Technology,Chi Yufeng,52,China,M,Software,U
1434,2100,Energy,Daniel Chiu,62,Hong Kong,M,Oil & gas,U
1434,2100,Healthcare,Beda Diethelm,82,Switzerland,M,Hearing aids,D
1434,2100,Fashion & Retail,Domenico Dolce,64,Italy,M,Luxury goods,U
1434,2100,Technology,Ralph Dommermuth,59,Germany,M,Internet service provider,D
1434,2100,Diversified,Georgi Domuschiev,50,United Kingdom,M,"Animal health, investments",U
1434,2100,Diversified,Kiril Domuschiev,53,United Kingdom,M,"Animal health, investments",U
1434,2100,Real Estate,Bob Ell,78,Australia,M,Real estate,E
1434,2100,Energy,Paul Foster,65,United States,M,Oil refining,U
1434,2100,Fashion & Retail,Stefano Gabbana,60,Italy,M,Luxury goods,U
1434,2100,Manufacturing,Xingjiang Gao,59,China,M,Steel,D
1434,2100,Energy,Gordon Getty,89,United States,M,Getty Oil,E
1434,2100,Energy,Kamal Ghaffarian,64,United States,M,"Space, energy",N
1434,2100,Healthcare,Dennis Gillings,78,United States,M,Clinical trials,E
1434,2100,Diversified,Harsh Goenka,65,India,M,Diversified,E
1434,2100,Diversified,Sanjiv Goenka,62,India,M,Diversified,D
1434,2100,Real Estate,Jane Goldman,67,United States,F,Real estate,D
1434,2100,Fashion & Retail,Stein Erik Hagen,66,Norway,M,Consumer goods,D
1434,2100,Real Estate,Bahaa Hariri,56,Switzerland,M,"Real estate, investments",E
1434,2100,Fashion & Retail,Hortensia Herrero,72,Spain,F,Supermarkets,D
1434,2100,Diversified,Douglas Hsu,80,Taiwan,M,Diversified,D
1434,2100,Manufacturing,Huang Min,49,China,M,Machinery,U
1434,2100,Technology,Jared Isaacman,40,United States,M,Payment processing,U
1434,2100,Technology,Eugene Kaspersky,57,Russia,M,Software,U
1434,2100,Fashion & Retail,Artem Khachatryan,48,Cyprus,M,Retail,R
1434,2100,Food & Beverage,Andrei Krivenko,47,Russia,M,Retail,N
1434,2100,Real Estate,Thomas Kwok,71,Hong Kong,M,Real estate,U
1434,2100,Manufacturing,Lam Wai-ying,,Hong Kong,F,Smartphone screens,D
1434,2100,Finance & Investments,Marc Lasry,62,United States,M,Hedge funds,U
1434,2100,Finance & Investments,Christian Latouche & family,82,France,M,Accounting services,D
1434,2100,Sports,Theodore Leonsis,67,United States,M,Sports teams,U
1434,2100,Real Estate,Lin Chang Su-O,82,Taiwan,F,Real estate,D
1434,2100,Manufacturing,Liu Chengyu & family,60,China,M,Power supply equipment,U
1434,2100,Fashion & Retail,Sergey Lomakin,49,Cyprus,M,Retail,R
1434,2100,Food & Beverage,Daniel Lubetzky,54,United States,M,Snack bars,D
1434,2100,Technology,Melissa Ma,,China,F,Internet search,U
1434,2100,Diversified,Anand Mahindra,67,India,M,Diversified,U
1434,2100,Fashion & Retail,Rafique Malik,72,India,M,Footwear,U
1434,2100,Diversified,Katarina Martinson,41,Sweden,F,Investments,U
1434,2100,Healthcare,Kiran Mazumdar-Shaw,70,India,F,Biopharmaceuticals,D
1434,2100,Automotive,Nirmal Minda,65,India,M,Auto parts,D
1434,2100,Technology,Mu Rongjun,43,China,M,E-commerce,D
1434,2100,Manufacturing,Eugene Murtagh,80,Ireland,M,Building materials,D
1434,2100,Finance & Investments,Alexander Nesis,60,Russia,M,"Metals, banking, fertilizers",U
1434,2100,Manufacturing,Zugen Ni,66,China,M,Appliances,U
1434,2100,Construction & Engineering,Florentino Perez,76,Spain,M,Construction,U
1434,2100,Metals & Mining,Victor Pinchuk,62,Ukraine,M,"Steel pipes, diversified",U
1434,2100,Technology,Leonid Radvinsky,40,United States,M,E-commerce,U
1434,2100,Technology,Raveendran Byju,41,India,M,Education technology,D
1434,2100,Construction & Engineering,P.P. Reddy,65,India,M,Infrastructure,U
1434,2100,Fashion & Retail,Richard Saghian,41,United States,M,Fast fashion,U
1434,2100,Healthcare,Shi Yifeng,49,China,M,Medical cosmetics,U
1434,2100,Finance & Investments,Thaksin Shinawatra,73,United Arab Emirates,M,Investments,U
1434,2100,Food & Beverage,Shu Ping,53,Singapore,F,Restaurants,U
1434,2100,Healthcare,Timothy Springer,75,United States,M,Biotech,E
1434,2100,Automotive,Venu Srinivasan,70,India,M,Two-wheelers,U
1434,2100,Fashion & Retail,Edward Stack,68,United States,M,Dick's Sporting Goods,U
1434,2100,Food & Beverage,Sun Mengquan & family,73,China,M,Edible oil,D
1434,2100,Finance & Investments,Alexander Svetakov,55,Russia,M,Real estate,D
1434,2100,Fashion & Retail,Torsten Toeller,56,Germany,M,Pet food,D
1434,2100,Food & Beverage,Barbara Tyson,74,United States,F,Food processing,N
1434,2100,Food & Beverage,Hamdi Ulukaya,50,United States,M,Greek yogurt,D
1434,2100,Construction & Engineering,Wang Linpeng,54,China,M,Furniture retailing,D
1434,2100,Food & Beverage,Wei Ing-Chou,69,China,M,"Food, beverages",U
1434,2100,Food & Beverage,Wei Yin-Chun,66,Taiwan,M,"Food, beverages",U
1434,2100,Food & Beverage,Wei Yin-Heng,64,China,M,"Food, beverages",U
1434,2100,Food & Beverage,Wei Ying-Chiao,68,Taiwan,M,"Food, beverages",U
1434,2100,Gambling & Casinos,Elaine Wynn,80,United States,F,"Casinos, hotels",U
1434,2100,Automotive,Xu Xudong & family,53,China,M,Auto parts,U
1434,2100,Fashion & Retail,Michael Ying,73,Hong Kong,M,Retail,U
1434,2100,Manufacturing,Yu Qibing & family,57,China,M,Glass,D
1434,2100,Manufacturing,Yuan Fugen & family,72,China,M,Metal processing,U
1434,2100,Manufacturing,Zhang Ning & family,49,China,F,Chemicals,D
1434,2100,Healthcare,Zhao Tao,57,China,M,Pharmaceuticals,D
1516,2000,Construction & Engineering,Anu Aga,80,India,F,Engineering,U
1516,2000,Fashion & Retail,Mohamed Al Fayed,94,United Kingdom,M,"Retail, investments",D
1516,2000,Technology,Andrey Andreev,49,United Kingdom,M,Online dating,E
1516,2000,Finance & Investments,Michael Ashcroft,77,Turks and Caicos Islands,M,Security,D
1516,2000,Technology,Pavel Baudis,62,Czech Republic,M,Software,D
1516,2000,Healthcare,Wilhelm Beier & family,66,Germany,M,Pharmaceuticals,D
1516,2000,Manufacturing,Cao Jianwei,44,China,M,Semiconductors,E
1516,2000,Manufacturing,Huwen Chen,52,China,M,Stationery,D
1516,2000,Diversified,Phongthep Chiaravanont,71,Thailand,M,Diversified,U
1516,2000,Diversified,Dou Zhenggang,69,China,M,"Energy, chemicals",D
1516,2000,Food & Beverage,Maria Franca Fissolo,88,Monaco,F,"Nutella, chocolates",E
1516,2000,Diversified,William Franke,85,United States,M,Low-cost airlines,D
1516,2000,Healthcare,Mario Germano Giuliani,51,Monaco,M,Pharmaceuticals,D
1516,2000,Real Estate,Amy Goldman Fowler,68,United States,F,Real estate,D
1516,2000,Metals & Mining,John Hancock,47,United Kingdom,M,Mining,D
1516,2000,Technology,Hu Yangzhong,58,China,M,Technology,D
1516,2000,Manufacturing,Huang Dawen,62,Hong Kong,M,Silicon,D
1516,2000,Media & Entertainment,Huang Qiaoling,64,China,M,Amusement parks,U
1516,2000,Finance & Investments,Rajiv Jain,55,United States,M,Finance,N
1516,2000,Sports,Michael Jordan,60,United States,M,"Charlotte Hornets, endorsements",U
1516,2000,Real Estate,Diane Kemper,77,United States,F,Real estate,D
1516,2000,Technology,Shlomo Kramer,57,Israel,M,"Software, investments",D
1516,2000,Healthcare,Heikki Kyostila,77,Finland,M,Dental products,U
1516,2000,Technology,Martin Lau,50,Hong Kong,M,E-commerce,D
1516,2000,Technology,Li Min,57,China,M,Semiconductor,D
1516,2000,Technology,Liang Rubo,40,China,M,TikTok,D
1516,2000,Manufacturing,Liang Zhaoxian,58,China,M,Appliances,D
1516,2000,Energy,Lin Fanlian,61,China,M,"Energy, real estate",D
1516,2000,Manufacturing,Aloke Lohia,64,Thailand,M,Petrochemicals,D
1516,2000,Real Estate,Bill Malhotra,73,Canada,M,Real estate,U
1516,2000,Finance & Investments,Alexander Mamut,63,Israel,M,Investments,D
1516,2000,Telecom,Craig McCaw,73,United States,M,Telecom,D
1516,2000,Manufacturing,Cunhui Nan,59,China,M,Power equipment,D
1516,2000,Service,Tengyun Nie & family,47,China,M,Logistics,D
1516,2000,Finance & Investments,Oei Hong Leong,75,Singapore,M,Investments,U
1516,2000,Metals & Mining,Clive Palmer,69,Australia,M,Mining,D
1516,2000,Technology,Matthew Prince,48,United States,M,Cybersecurity,D
1516,2000,Service,Linda Pritzker,69,United States,F,"Hotels, investments",E
1516,2000,Construction & Engineering,P.V. Krishna Reddy,53,India,M,Infrastructure,U
1516,2000,Metals & Mining,Bianca Rinehart,46,Australia,F,Mining,D
1516,2000,Metals & Mining,Ginia Rinehart,36,Australia,F,Mining,D
1516,2000,Finance & Investments,T. Denny Sanford,87,United States,M,"Banking, credit cards",D
1516,2000,Manufacturing,Bhadresh Shah,71,India,M,Engineering,U
1516,2000,Media & Entertainment,Zygmunt Solorz-Zak,66,Poland,M,TV broadcasting,D
1516,2000,Manufacturing,Michal Strnad,30,,M,Defense Contracting,N
1516,2000,Fashion & Retail,Sylvia Stroeher,67,Germany,F,Cosmetics,E
1516,2000,Technology,Otto Toto Sugiri,69,Indonesia,M,Data centers,D
1516,2000,Sports,Larry Tanenbaum,77,Canada,M,Sports,N
1516,2000,Finance & Investments,Wichai Thongtang,76,Thailand,M,Investments,E
1516,2000,Finance & Investments,Ion Tiriac,83,Romania,M,"Banking, insurance",U
1516,2000,Metals & Mining,Hope Welker,37,United States,F,Mining,D
1516,2000,Manufacturing,William Young,82,United States,M,Plastics,D
1516,2000,Fashion & Retail,Ales Zavoral,46,,M,E-commerce,N
1516,2000,Technology,Zhang Fan,57,China,M,Touch screens,D
1516,2000,Technology,Shilong Zhang & family,57,China,M,Semiconductor,D
1516,2000,Manufacturing,Zhang Wanzhen,73,China,M,Electronics components,D
1516,2000,Technology,Hongfei Zhao,48,China,M,Software,D
1516,2000,Energy,Zhou Jian,46,China,M,Solar energy equipment,D
1516,2000,Healthcare,Zhu Yiwen & family,59,China,M,Healthcare,U
1575,1900,Diversified,Roberto Angelini Rossi,74,Chile,M,"Forestry, mining",U
1575,1900,Energy,Mika Anttonen,56,Finland,M,Oil & gas,U
1575,1900,Sports,David Blitzer,53,United States,M,Sports,N
1575,1900,Finance & Investments,Julio Bozano,87,Brazil,M,Banking,D
1575,1900,Energy,Nikolai Buinov,55,Russia,M,"Oil, gas",U
1575,1900,Fashion & Retail,Nicola Bulgari,82,Italy,M,Luxury goods,E
1575,1900,Fashion & Retail,"Howard Butt, III. & family",71,United States,M,Supermarkets,N
1575,1900,Fashion & Retail,Stephen Butt & family,67,,M,Supermarkets,N
1575,1900,Fashion & Retail,Jianxing Che,56,China,M,Furniture retailing,D
1575,1900,Manufacturing,Huxiong Chen,52,China,M,Stationery,D
1575,1900,Energy,Chen Qiongxiang,,China,F,Batteries,D
1575,1900,Technology,Chen Zhisong,57,China,M,Communication equipment,D
1575,1900,Diversified,Manas Chiaravanond,,Thailand,M,Diversified,U
1575,1900,Diversified,Prathip Chiravanond,74,Thailand,M,Diversified,R
1575,1900,Food & Beverage,Alexandra Daitch,60,United States,F,Cargill,D
1575,1900,Food & Beverage,Sol Daurella,57,Spain,F,Coca-Cola bottler,U
1575,1900,Sports,Mark Davis,67,United States,M,Las Vegas Raiders,N
1575,1900,Finance & Investments,James Dinan,63,United States,M,Hedge funds,E
1575,1900,Healthcare,Dong Fan,53,China,M,Medical devices,D
1575,1900,Automotive,Fritz Draexlmaier,,Germany,M,Auto parts,U
1575,1900,Diversified,Bulent Eczacibasi,73,Turkey,M,"Pharmaceuticals, diversified",U
1575,1900,Diversified,Faruk Eczacibasi,68,Turkey,M,"Pharmaceuticals, diversified",U
1575,1900,Diversified,Eduardo Eurnekian,90,Argentina,M,"Airports, investments",U
1575,1900,Real Estate,David Fong,65,Hong Kong,M,Real estate,N
1575,1900,Fashion & Retail,Guo Zhenyu & family,59,China,M,Cosmetics,D
1575,1900,Manufacturing,Surjit Kumar Gupta,81,India,M,Electrical equipment,U
1575,1900,Diversified,Caroline Hagen Kjos,39,Switzerland,F,Conglomerate,D
1575,1900,Finance & Investments,Roberto Hernandez Ramirez,81,Mexico,M,"Banking, investments",E
1575,1900,Technology,Reid Hoffman,55,United States,M,LinkedIn,D
1575,1900,Manufacturing,Hu Rongda & family,64,China,M,Chemicals,U
1575,1900,Real Estate,"B. Wayne Hughes, Jr.",63,United States,M,Storage facilities,D
1575,1900,Real Estate,Hui Wing Mau,72,Hong Kong,M,Real estate,D
1575,1900,Finance & Investments,Scott Kapnick,64,United States,M,Private equity,U
1575,1900,Finance & Investments,Richard Kayne,77,United States,M,Investments,U
1575,1900,Finance & Investments,Dominika Kulczyk,45,United Kingdom,F,Diversified,U
1575,1900,Finance & Investments,Edward Lampert,60,United States,M,Sears,U
1575,1900,Diversified,Somsri Lamsam,,Thailand,M,Diversified,N
1575,1900,Food & Beverage,James Leprino,85,United States,M,Cheese,D
1575,1900,Real Estate,David Lichtenstein,61,United States,M,Real estate,E
1575,1900,Real Estate,Lin Dingqiang & family,56,China,M,Real estate,E
1575,1900,Food & Beverage,Sarah MacMillan,69,United States,F,Cargill,D
1575,1900,Telecom,Strive Masiyiwa,62,United Kingdom,M,Telecom,D
1575,1900,Fashion & Retail,Robert Miller,89,Hong Kong,M,Retail,D
1575,1900,Technology,Simon Nixon,55,United Kingdom,M,Price comparison website,U
1575,1900,Food & Beverage,Kentaro Ogawa,74,Japan,M,Restaurants,U
1575,1900,Manufacturing,Ajay Parekh,65,India,M,Adhesives,D
1575,1900,Manufacturing,Narendrakumar Parekh,84,India,M,Adhesives,D
1575,1900,Finance & Investments,Jennifer Pritzker,72,United States,F,"Hotels, investments",D
1575,1900,Fashion & Retail,G. Rajendran,80,India,M,Jewellery,U
1575,1900,Manufacturing,Ren Jianhua,66,China,M,Kitchen appliances,D
1575,1900,Finance & Investments,Larry Robbins,53,United States,M,Hedge funds,E
1575,1900,Construction & Engineering,Dwight Schar,81,United States,M,"Homebuilding, NFL team",E
1575,1900,Energy,Shao Jianxiong,,China,M,Photovoltaics,U
1575,1900,Manufacturing,Qinxiang Shao,68,China,M,Diversified,U
1575,1900,Technology,Hua Shen,60,China,M,Semiconductors,D
1575,1900,Manufacturing,Shi Wen-long,95,Taiwan,M,Plastics,D
1575,1900,Finance & Investments,Peter Sondakh,73,Indonesia,M,Investments,D
1575,1900,Food & Beverage,Lucy Stitzer,63,United States,F,Cargill,D
1575,1900,Diversified,Elizabeth Sy,70,Philippines,F,Diversified,D
1575,1900,Manufacturing,Hermanto Tanoko,60,Indonesia,M,Paints,Split Family Fortune
1575,1900,Construction & Engineering,Mehmet Sinan Tara,64,Turkey,M,Construction,U
1575,1900,Fashion & Retail,Masateru Uno & family,76,Japan,M,Drugstores,D
1575,1900,Energy,Vardis Vardinoyannis & family,90,Greece,M,Oil and gas,U
1575,1900,Real Estate,Jitendra Virwani,57,India,M,Real estate,D
1575,1900,Real Estate,Wang Chaobin,67,China,M,Real estate,E
1575,1900,Fashion & Retail,Wang Ren-sheng,91,China,M,Retail,D
1575,1900,Food & Beverage,Charlotte Colket Weber,80,United States,F,Campbell Soup,U
1575,1900,Healthcare,Xie Juhua & family,72,China,F,Pharmaceuticals,D
1575,1900,Manufacturing,Chuanhua Xu & family,88,China,M,"Chemicals, logistics",D
1575,1900,Finance & Investments,Gavril Yushvaev & family,65,Israel,M,"Precious metals, real estate",U
1575,1900,Diversified,Zhang Hongwei,68,China,M,"Oil, banking",D
1575,1900,Manufacturing,Anita Zucker,71,United States,F,Chemicals,U
1647,1800,Technology,Cameron Adams,43,Australia,M,Software,D
1647,1800,Fashion & Retail,Will Adderley,51,United Kingdom,M,Home furnishings,Split Family Fortune
1647,1800,Diversified,Faisal Bin Qassim Al Thani,75,Qatar,M,"Hotels, diversified",D
