rank,finalWorth,category,personName,age,country,gender,source,status
534,5000,Finance & Investments,Alexander Gerko,43,United Kingdom,M,Trading,N
534,5000,Technology,Martin Haefner,69,Switzerland,M,"Software, investments",U
534,5000,Telecom,"Robert Hale, Jr.",56,United States,M,Telecom,U
534,5000,Healthcare,Viktor Kharitonin,50,Russia,M,Pharmaceuticals,U
534,5000,Technology,Kim Beom-su,57,South Korea,M,Online services,D
534,5000,Fashion & Retail,Jane Lauder,50,United States,F,Estée Lauder,D
534,5000,Fashion & Retail,Michel Leclercq & family,83,France,M,Sporting goods,U
534,5000,Media & Entertainment,George Lucas,78,United States,M,Star Wars,D
534,5000,Sports,Janice McNair,86,United States,F,"Energy, sports",U
534,5000,Healthcare,Ugur Sahin,57,Germany,M,Biotechnology,D
534,5000,Real Estate,Alexandra Schoerghuber & family,64,Germany,F,Real estate,U
534,5000,Healthcare,Thomas Straumann,59,Switzerland,M,Dental implants,D
534,5000,Food & Beverage,Murat Ulker,64,Turkey,M,Food,U
534,5000,Fashion & Retail,Chip Wilson,66,Canada,M,Lululemon,D
534,5000,Real Estate,Zhu Yan & family,,China,F,Real estate,U
552,4900,Manufacturing,Jim Davis & family,79,United States,M,New Balance,D
552,4900,Healthcare,Murali Divi & family,72,India,M,Pharmaceuticals,D
552,4900,Technology,Dagmar Dolby & family,81,United States,F,Dolby Laboratories,U
552,4900,Technology,Marcos Galperin,,Argentina,M,E-commerce,U
552,4900,Service,Tom Golisano,81,United States,M,Payroll services,D
552,4900,Finance & Investments,Jonathan Gray,53,United States,M,Investments,D
552,4900,Finance & Investments,Bidzina Ivanishvili,67,Georgia,M,Investments,U
552,4900,Metals & Mining,Lim Hariyanto Wijaya Sarwono,94,Indonesia,M,"Palm oil, nickel mining",U
552,4900,Healthcare,Rudolf Maag,77,Switzerland,M,Medical devices,D
552,4900,Food & Beverage,Emanuele (Lino) Saputo & family,86,Canada,M,Cheese,U
552,4900,Automotive,Mark Shoen,72,United States,M,U-Haul,U
552,4900,Sports,Dan Snyder,58,United States,M,Washington Commanders,U
552,4900,Diversified,Chairul Tanjung,60,Indonesia,M,Diversified,D
552,4900,Energy,Kelcy Warren,67,United States,M,Pipelines,U
552,4900,Fashion & Retail,Zhang Tao,50,China,M,E-commerce,D
567,4800,Fashion & Retail,Michael Ashley,58,United Kingdom,M,Sports retailing,U
567,4800,Fashion & Retail,Tomasz Biernacki,50,Poland,M,Supermarkets,U
567,4800,Healthcare,Bernard Broermann,79,Germany,M,Hospitals,U
567,4800,Fashion & Retail,Jimmy Haslam,69,United States,M,"Gas stations, retail",U
567,4800,Manufacturing,H. Fisk Johnson,64,United States,M,Cleaning products,U
567,4800,Manufacturing,S. Curtis Johnson,67,United States,M,Cleaning products,U
567,4800,Manufacturing,Helen Johnson-Leipold,66,United States,F,Cleaning products,U
567,4800,Technology,Vinod Khosla,68,United States,M,Venture capital,D
567,4800,Technology,Thai Lee,64,United States,F,IT provider,U
567,4800,Manufacturing,Winifred J. Marquart,63,United States,F,Cleaning products,U
567,4800,Healthcare,Pankaj Patel,70,India,M,Pharmaceuticals,U
567,4800,Manufacturing,Horst Julius Pudwill,78,Hong Kong,M,Manufacturing,D
567,4800,Finance & Investments,Yu Yong,62,China,M,Mining,U
580,4700,Diversified,Maria Fernanda Amorim & family,88,Portugal,F,"Energy, investments",E
580,4700,Sports,Gayle Benson,76,United States,F,New Orleans Saints,U
580,4700,Technology,Jason Chang,78,Taiwan,M,Electronics,U
580,4700,Manufacturing,Ali Erdemoglu,63,Turkey,M,Carpet,U
580,4700,Finance & Investments,Andre Esteves,54,Brazil,M,Banking,D
580,4700,Real Estate,Carlo Fidani,68,Canada,M,Real estate,U
580,4700,Technology,Hong Ra-hee,77,South Korea,F,Samsung,D
580,4700,Manufacturing,Li Gaiteng,50,China,M,Hair dryers,U
580,4700,Media & Entertainment,Thomas Secunda,68,United States,M,Bloomberg LP,U
580,4700,Diversified,Zuowen Song,76,China,M,"Aluminum, diversified",U
580,4700,Media & Entertainment,Tim Sweeney,52,United States,M,Video games,D
591,4600,Food & Beverage,Bert Beveridge,61,United States,M,Vodka,U
591,4600,Media & Entertainment,Mark Cuban,64,United States,M,"Online media, Dallas Mavericks",D
591,4600,Media & Entertainment,Charles Dolan & family,96,United States,M,Cable television,D
591,4600,Technology,Jack Dorsey,46,United States,M,"Twitter, Square",D
591,4600,Energy,Fan Hongwei,56,China,F,Petrochemicals,D
591,4600,Metals & Mining,Vladimir Kim,62,Kazakhstan,M,Mining,D
591,4600,Finance & Investments,"Andre Koo, Sr.",55,Taiwan,M,Financial services,D
591,4600,Fashion & Retail,Ronald Lauder,79,United States,M,Estee Lauder,D
591,4600,Manufacturing,Li Chunan,54,China,M,Renewable energy,D
591,4600,Media & Entertainment,Forrest Li,45,Singapore,M,Gaming,D
591,4600,Telecom,Richard Li,56,Hong Kong,M,Telecom,D
591,4600,Fashion & Retail,Doug Meijer & family,69,United States,M,Supermarkets,Split Family Fortune
591,4600,Fashion & Retail,Hank Meijer & family,71,United States,M,Supermarkets,Split Family Fortune
591,4600,Fashion & Retail,Mark Meijer & family,65,United States,M,Supermarkets,Split Family Fortune
